,home,score,away,year
105,Argentina,3–1,Northern Ireland,1958
106,West Germany,2–2,Northern Ireland,1958
107,Czechoslovakia,6–1,Argentina,1958
108,Northern Ireland,2–1 (a.e.t.),Czechoslovakia,1958
109,France,7–3,Paraguay,1958
110,Yugoslavia,1–1,Scotland,1958
111,Yugoslavia,3–2,France,1958
112,Paraguay,3–2,Scotland,1958
113,France,2–1,Scotland,1958
114,Paraguay,3–3,Yugoslavia,1958
115,Sweden,3–0,Mexico,1958
116,Hungary,1–1,Wales,1958
117,Mexico,1–1,Wales,1958
118,Sweden,2–1,Hungary,1958
119,Sweden,0–0,Wales,1958
120,Hungary,4–0,Mexico,1958
121,Wales,2–1,Hungary,1958
122,Brazil,3–0,Austria,1958
123,Soviet Union,2–2,England,1958
124,Brazil,0–0,England,1958
125,Soviet Union,2–0,Austria,1958
126,England,2–2,Austria,1958
127,Brazil,2–0,Soviet Union,1958
128,Soviet Union,1–0,England,1958
129,Brazil,1–0,Wales,1958
130,France,4–0,Northern Ireland,1958
131,Sweden,2–0,Soviet Union,1958
132,West Germany,1–0,Yugoslavia,1958
133,Brazil,5–2,France,1958
134,Sweden,3–1,West Germany,1958
135,France,6–3,West Germany,1958
136,Brazil,5–2,Sweden,1958
137,Uruguay,2–1,Colombia,1962
138,Soviet Union,2–0,Yugoslavia,1962
139,Yugoslavia,3–1,Uruguay,1962
140,Soviet Union,4–4,Colombia,1962
141,Soviet Union,2–1,Uruguay,1962
142,Yugoslavia,5–0,Colombia,1962
143,Chile,3–1,Switzerland,1962
144,West Germany,0–0,Italy,1962
145,Chile,2–0,Italy,1962
146,West Germany,2–1,Switzerland,1962
147,West Germany,2–0,Chile,1962
148,Italy,3–0,Switzerland,1962
149,Brazil,2–0,Mexico,1962
150,Czechoslovakia,1–0,Spain,1962
151,Brazil,0–0,Czechoslovakia,1962
152,Spain,1–0,Mexico,1962
153,Brazil,2–1,Spain,1962
154,Mexico,3–1,Czechoslovakia,1962
155,Argentina,1–0,Bulgaria,1962
156,Hungary,2–1,England,1962
157,England,3–1,Argentina,1962
158,Hungary,6–1,Bulgaria,1962
159,Hungary,0–0,Argentina,1962
160,England,0–0,Bulgaria,1962
161,Chile,2–1,Soviet Union,1962
162,Czechoslovakia,1–0,Hungary,1962
163,Brazil,3–1,England,1962
164,Yugoslavia,1–0,West Germany,1962
165,Czechoslovakia,3–1,Yugoslavia,1962
166,Brazil,4–2,Chile,1962
167,Chile,1–0,Yugoslavia,1962
168,Brazil,3–1,Czechoslovakia,1962
169,England,0–0,Uruguay,1966
170,France,1–1,Mexico,1966
171,Uruguay,2–1,France,1966
172,England,2–0,Mexico,1966
173,Mexico,0–0,Uruguay,1966
174,England,2–0,France,1966
175,West Germany,5–0,Switzerland,1966
176,Argentina,2–1,Spain,1966
177,Spain,2–1,Switzerland,1966
178,Argentina,0–0,West Germany,1966
179,Argentina,2–0,Switzerland,1966
180,West Germany,2–1,Spain,1966
181,Brazil,2–0,Bulgaria,1966
182,Portugal,3–1,Hungary,1966
183,Hungary,3–1,Brazil,1966
184,Portugal,3–0,Bulgaria,1966
185,Portugal,3–1,Brazil,1966
186,Hungary,3–1,Bulgaria,1966
187,Soviet Union,3–0,North Korea,1966
188,Italy,2–0,Chile,1966
189,Chile,1–1,North Korea,1966
190,Soviet Union,1–0,Italy,1966
191,North Korea,1–0,Italy,1966
192,Soviet Union,2–1,Chile,1966
193,England,1–0,Argentina,1966
194,West Germany,4–0,Uruguay,1966
195,Soviet Union,2–1,Hungary,1966
196,Portugal,5–3,North Korea,1966
197,West Germany,2–1,Soviet Union,1966
198,England,2–1,Portugal,1966
199,Portugal,2–1,Soviet Union,1966
200,England,4–2 (a.e.t.),West Germany,1966
201,Mexico,0–0,Soviet Union,1970
202,Belgium,3–0,El Salvador,1970
203,Soviet Union,4–1,Belgium,1970
204,Mexico,4–0,El Salvador,1970
205,Soviet Union,2–0,El Salvador,1970
206,Mexico,1–0,Belgium,1970
207,Uruguay,2–0,Israel,1970
208,Italy,1–0,Sweden,1970
209,Uruguay,0–0,Italy,1970
210,Sweden,1–1,Israel,1970
211,Sweden,1–0,Uruguay,1970
212,Italy,0–0,Israel,1970
213,England,1–0,Romania,1970
214,Brazil,4–1,Czechoslovakia,1970
215,Romania,2–1,Czechoslovakia,1970
216,Brazil,1–0,England,1970
217,Brazil,3–2,Romania,1970
218,England,1–0,Czechoslovakia,1970
219,Peru,3–2,Bulgaria,1970
220,West Germany,2–1,Morocco,1970
221,Peru,3–0,Morocco,1970
222,West Germany,5–2,Bulgaria,1970
223,West Germany,3–1,Peru,1970
224,Bulgaria,1–1,Morocco,1970
225,Soviet Union,0–1 (a.e.t.),Uruguay,1970
226,Italy,4–1,Mexico,1970
227,Brazil,4–2,Peru,1970
228,West Germany,3–2 (a.e.t.),England,1970
229,Brazil,3–1,Uruguay,1970
230,Italy,4–3 (a.e.t.),West Germany,1970
231,West Germany,1–0,Uruguay,1970
232,Brazil,4–1,Italy,1970
233,West Germany,1–0,Chile,1974
234,East Germany,2–0,Australia,1974
235,Australia,0–3,West Germany,1974
236,Chile,1–1,East Germany,1974
237,Australia,0–0,Chile,1974
238,East Germany,1–0,West Germany,1974
239,Brazil,0–0,Yugoslavia,1974
240,Zaire,0–2,Scotland,1974
241,Yugoslavia,9–0,Zaire,1974
242,Scotland,0–0,Brazil,1974
243,Scotland,1–1,Yugoslavia,1974
244,Zaire,0–3,Brazil,1974
245,Uruguay,0–2,Netherlands,1974
246,Sweden,0–0,Bulgaria,1974
247,Bulgaria,1–1,Uruguay,1974
248,Netherlands,0–0,Sweden,1974
249,Bulgaria,1–4,Netherlands,1974
250,Sweden,3–0,Uruguay,1974
251,Italy,3–1,Haiti,1974
252,Poland,3–2,Argentina,1974
253,Argentina,1–1,Italy,1974
254,Haiti,0–7,Poland,1974
255,Argentina,4–1,Haiti,1974
256,Poland,2–1,Italy,1974
257,Netherlands,4–0,Argentina,1974
258,Brazil,1–0,East Germany,1974
259,Argentina,1–2,Brazil,1974
260,East Germany,0–2,Netherlands,1974
261,Argentina,1–1,East Germany,1974
262,Netherlands,2–0,Brazil,1974
263,Yugoslavia,0–2,West Germany,1974
264,Sweden,0–1,Poland,1974
265,Poland,2–1,Yugoslavia,1974
266,West Germany,4–2,Sweden,1974
267,Poland,0–1,West Germany,1974
268,Sweden,2–1,Yugoslavia,1974
269,Brazil,0–1,Poland,1974
270,Netherlands,1–2,West Germany,1974
271,Italy,2–1,France,1978
272,Argentina,2–1,Hungary,1978
273,Italy,3–1,Hungary,1978
274,Argentina,2–1,France,1978
275,France,3–1,Hungary,1978
276,Argentina,0–1,Italy,1978
277,West Germany,0–0,Poland,1978
278,Tunisia,3–1,Mexico,1978
279,West Germany,6–0,Mexico,1978
280,Poland,1–0,Tunisia,1978
281,West Germany,0–0,Tunisia,1978
282,Poland,3–1,Mexico,1978
283,Austria,2–1,Spain,1978
284,Brazil,1–1,Sweden,1978
285,Austria,1–0,Sweden,1978
286,Brazil,0–0,Spain,1978
287,Spain,1–0,Sweden,1978
288,Brazil,1–0,Austria,1978
289,Peru,3–1,Scotland,1978
290,Netherlands,3–0,Iran,1978
291,Scotland,1–1,Iran,1978
292,Netherlands,0–0,Peru,1978
293,Peru,4–1,Iran,1978
294,Scotland,3–2,Netherlands,1978
295,Austria,1–5,Netherlands,1978
296,Italy,0–0,West Germany,1978
297,Netherlands,2–2,West Germany,1978
298,Italy,1–0,Austria,1978
299,Austria,3–2,West Germany,1978
300,Italy,1–2,Netherlands,1978
301,Brazil,3–0,Peru,1978
302,Argentina,2–0,Poland,1978
303,Peru,0–1,Poland,1978
304,Argentina,0–0,Brazil,1978
305,Brazil,3–1,Poland,1978
306,Argentina,6–0,Peru,1978
307,Brazil,2–1,Italy,1978
308,Argentina,3–1 (a.e.t.),Netherlands,1978
309,Italy,0–0,Poland,1982
310,Peru,0–0,Cameroon,1982
311,Italy,1–1,Peru,1982
312,Poland,0–0,Cameroon,1982
313,Poland,5–1,Peru,1982
314,Italy,1–1,Cameroon,1982
315,West Germany,1–2,Algeria,1982
316,Chile,0–1,Austria,1982
317,West Germany,4–1,Chile,1982
318,Algeria,0–2,Austria,1982
319,Algeria,3–2,Chile,1982
320,West Germany,1–0,Austria,1982
321,Argentina,0–1,Belgium,1982
322,Hungary,10–1,El Salvador,1982
323,Argentina,4–1,Hungary,1982
324,Belgium,1–0,El Salvador,1982
325,Belgium,1–1,Hungary,1982
326,Argentina,2–0,El Salvador,1982
327,England,3–1,France,1982
328,Czechoslovakia,1–1,Kuwait,1982
329,England,2–0,Czechoslovakia,1982
330,France,4–1,Kuwait,1982
331,France,1–1,Czechoslovakia,1982
332,England,1–0,Kuwait,1982
333,Spain,1–1,Honduras,1982
334,Yugoslavia,0–0,Northern Ireland,1982
335,Spain,2–1,Yugoslavia,1982
336,Honduras,1–1,Northern Ireland,1982
337,Honduras,0–1,Yugoslavia,1982
338,Spain,0–1,Northern Ireland,1982
339,Brazil,2–1,Soviet Union,1982
340,Scotland,5–2,New Zealand,1982
341,Brazil,4–1,Scotland,1982
342,Soviet Union,3–0,New Zealand,1982
343,Soviet Union,2–2,Scotland,1982
344,Brazil,4–0,New Zealand,1982
345,Poland,3–0,Belgium,1982
346,Belgium,0–1,Soviet Union,1982
347,Soviet Union,0–0,Poland,1982
348,West Germany,0–0,England,1982
349,West Germany,2–1,Spain,1982
350,Spain,0–0,England,1982
351,Italy,2–1,Argentina,1982
352,Argentina,1–3,Brazil,1982
353,Italy,3–2,Brazil,1982
354,Austria,0–1,France,1982
355,Austria,2–2,Northern Ireland,1982
356,France,4–1,Northern Ireland,1982
357,Poland,0–2,Italy,1982
358,West Germany,3–3 (a.e.t.),France,1982
359,Poland,3–2,France,1982
360,Italy,3–1,West Germany,1982
361,Bulgaria,1–1,Italy,1986
362,Argentina,3–1,South Korea,1986
363,Italy,1–1,Argentina,1986
364,South Korea,1–1,Bulgaria,1986
365,South Korea,2–3,Italy,1986
366,Argentina,2–0,Bulgaria,1986
367,Belgium,1–2,Mexico,1986
368,Paraguay,1–0,Iraq,1986
369,Mexico,1–1,Paraguay,1986
370,Iraq,1–2,Belgium,1986
371,Paraguay,2–2,Belgium,1986
372,Iraq,0–1,Mexico,1986
373,Canada,0–1,France,1986
374,Soviet Union,6–0,Hungary,1986
375,France,1–1,Soviet Union,1986
376,Hungary,2–0,Canada,1986
377,Hungary,0–3,France,1986
378,Soviet Union,2–0,Canada,1986
379,Spain,0–1,Brazil,1986
380,Algeria,1–1,Northern Ireland,1986
381,Brazil,1–0,Algeria,1986
382,Northern Ireland,1–2,Spain,1986
383,Northern Ireland,0–3,Brazil,1986
384,Algeria,0–3,Spain,1986
385,Uruguay,1–1,West Germany,1986
386,Scotland,0–1,Denmark,1986
387,West Germany,2–1,Scotland,1986
388,Denmark,6–1,Uruguay,1986
389,Denmark,2–0,West Germany,1986
390,Scotland,0–0,Uruguay,1986
391,Morocco,0–0,Poland,1986
392,Portugal,1–0,England,1986
393,England,0–0,Morocco,1986
394,Poland,1–0,Portugal,1986
395,England,3–0,Poland,1986
396,Portugal,1–3,Morocco,1986
397,Mexico,2–0,Bulgaria,1986
398,Soviet Union,3–4 (a.e.t.),Belgium,1986
399,Brazil,4–0,Poland,1986
400,Argentina,1–0,Uruguay,1986
401,Italy,0–2,France,1986
402,Morocco,0–1,West Germany,1986
403,England,3–0,Paraguay,1986
404,Denmark,1–5,Spain,1986
405,Brazil,1–1 (a.e.t.),France,1986
406,West Germany,0–0 (a.e.t.),Mexico,1986
407,Argentina,2–1,England,1986
408,Spain,1–1 (a.e.t.),Belgium,1986
409,France,0–2,West Germany,1986
410,Argentina,2–0,Belgium,1986
411,Belgium,2–4 (a.e.t.),France,1986
412,Argentina,3–2,West Germany,1986
413,Cameroon,2–1 (a.e.t.),Colombia,1990
414,Czechoslovakia,4–1,Costa Rica,1990
415,Brazil,0–1,Argentina,1990
416,West Germany,2–1,Netherlands,1990
417,Republic of Ireland,0–0 (a.e.t.),Romania,1990
418,Italy,2–0,Uruguay,1990
419,Spain,1–2 (a.e.t.),Yugoslavia,1990
420,England,1–0 (a.e.t.),Belgium,1990
421,Argentina,0–0 (a.e.t.),Yugoslavia,1990
422,Republic of Ireland,0–1,Italy,1990
423,Czechoslovakia,0–1,West Germany,1990
424,Cameroon,2–3 (a.e.t.),England,1990
425,Argentina,1–1 (a.e.t.),Italy,1990
426,West Germany,1–1 (a.e.t.),England,1990
427,Italy,2–1,England,1990
428,West Germany,1–0,Argentina,1990
429,Italy,1–0,Austria,1990
430,United States,1–5,Czechoslovakia,1990
431,Italy,1–0,United States,1990
432,Austria,0–1,Czechoslovakia,1990
433,Italy,2–0,Czechoslovakia,1990
434,Austria,2–1,United States,1990
435,Argentina,0–1,Cameroon,1990
436,Soviet Union,0–2,Romania,1990
437,Argentina,2–0,Soviet Union,1990
438,Cameroon,2–1,Romania,1990
439,Argentina,1–1,Romania,1990
440,Cameroon,0–4,Soviet Union,1990
441,Brazil,2–1,Sweden,1990
442,Costa Rica,1–0,Scotland,1990
443,Brazil,1–0,Costa Rica,1990
444,Sweden,1–2,Scotland,1990
445,Brazil,1–0,Scotland,1990
446,Sweden,1–2,Costa Rica,1990
447,United Arab Emirates,0–2,Colombia,1990
448,West Germany,4–1,Yugoslavia,1990
449,Yugoslavia,1–0,Colombia,1990
450,West Germany,5–1,United Arab Emirates,1990
451,West Germany,1–1,Colombia,1990
452,Yugoslavia,4–1,United Arab Emirates,1990
453,Belgium,2–0,South Korea,1990
454,Uruguay,0–0,Spain,1990
455,Belgium,3–1,Uruguay,1990
456,South Korea,1–3,Spain,1990
457,Belgium,1–2,Spain,1990
458,South Korea,0–1,Uruguay,1990
459,England,1–1,Republic of Ireland,1990
460,Netherlands,1–1,Egypt,1990
461,England,0–0,Netherlands,1990
462,Republic of Ireland,0–0,Egypt,1990
463,England,1–0,Egypt,1990
464,Republic of Ireland,1–1,Netherlands,1990
465,United States,1–1,Switzerland,1994
466,Colombia,1–3,Romania,1994
467,Romania,1–4,Switzerland,1994
468,United States,2–1,Colombia,1994
469,Switzerland,0–2,Colombia,1994
470,United States,0–1,Romania,1994
471,Cameroon,2–2,Sweden,1994
472,Brazil,2–0,Russia,1994
473,Brazil,3–0,Cameroon,1994
474,Sweden,3–1,Russia,1994
475,Russia,6–1,Cameroon,1994
476,Brazil,1–1,Sweden,1994
477,Germany,1–0,Bolivia,1994
478,Spain,2–2,South Korea,1994
479,Germany,1–1,Spain,1994
480,South Korea,0–0,Bolivia,1994
481,Bolivia,1–3,Spain,1994
482,Germany,3–2,South Korea,1994
483,Argentina,4–0,Greece,1994
484,Nigeria,3–0,Bulgaria,1994
485,Argentina,2–1,Nigeria,1994
486,Bulgaria,4–0,Greece,1994
487,Argentina,0–2,Bulgaria,1994
488,Greece,0–2,Nigeria,1994
489,Italy,0–1,Republic of Ireland,1994
490,Norway,1–0,Mexico,1994
491,Italy,1–0,Norway,1994
492,Mexico,2–1,Republic of Ireland,1994
493,Italy,1–1,Mexico,1994
494,Republic of Ireland,0–0,Norway,1994
495,Belgium,1–0,Morocco,1994
496,Netherlands,2–1,Saudi Arabia,1994
497,Belgium,1–0,Netherlands,1994
498,Saudi Arabia,2–1,Morocco,1994
499,Belgium,0–1,Saudi Arabia,1994
500,Morocco,1–2,Netherlands,1994
501,Germany,3–2,Belgium,1994
502,Spain,3–0,Switzerland,1994
503,Saudi Arabia,1–3,Sweden,1994
504,Romania,3–2,Argentina,1994
505,Netherlands,2–0,Republic of Ireland,1994
506,Brazil,1–0,United States,1994
507,Nigeria,1–2 (a.e.t.),Italy,1994
508,Mexico,1–1 (a.e.t.),Bulgaria,1994
509,Italy,2–1,Spain,1994
510,Netherlands,2–3,Brazil,1994
511,Bulgaria,2–1,Germany,1994
512,Romania,2–2 (a.e.t.),Sweden,1994
513,Bulgaria,1–2,Italy,1994
514,Sweden,0–1,Brazil,1994
515,Sweden,4–0,Bulgaria,1994
516,Brazil,0–0 (a.e.t.),Italy,1994
517,Brazil,2–1,Scotland,1998
518,Morocco,2–2,Norway,1998
519,Scotland,1–1,Norway,1998
520,Brazil,3–0,Morocco,1998
521,Scotland,0–3,Morocco,1998
522,Brazil,1–2,Norway,1998
523,Italy,2–2,Chile,1998
524,Cameroon,1–1,Austria,1998
525,Chile,1–1,Austria,1998
526,Italy,3–0,Cameroon,1998
527,Italy,2–1,Austria,1998
528,Chile,1–1,Cameroon,1998
529,Saudi Arabia,0–1,Denmark,1998
530,France,3–0,South Africa,1998
531,South Africa,1–1,Denmark,1998
532,France,4–0,Saudi Arabia,1998
533,France,2–1,Denmark,1998
534,South Africa,2–2,Saudi Arabia,1998
535,Paraguay,0–0,Bulgaria,1998
536,Spain,2–3,Nigeria,1998
537,Nigeria,1–0,Bulgaria,1998
538,Spain,0–0,Paraguay,1998
539,Nigeria,1–3,Paraguay,1998
540,Spain,6–1,Bulgaria,1998
541,South Korea,1–3,Mexico,1998
542,Netherlands,0–0,Belgium,1998
543,Belgium,2–2,Mexico,1998
544,Netherlands,5–0,South Korea,1998
545,Netherlands,2–2,Mexico,1998
546,Belgium,1–1,South Korea,1998
547,FR Yugoslavia,1–0,Iran,1998
548,Germany,2–0,United States,1998
549,Germany,2–2,FR Yugoslavia,1998
550,United States,1–2,Iran,1998
551,Germany,2–0,Iran,1998
552,United States,0–1,FR Yugoslavia,1998
553,England,2–0,Tunisia,1998
554,Romania,1–0,Colombia,1998
555,Colombia,1–0,Tunisia,1998
556,Romania,2–1,England,1998
557,Colombia,0–2,England,1998
558,Romania,1–1,Tunisia,1998
559,Argentina,1–0,Japan,1998
560,Jamaica,1–3,Croatia,1998
561,Japan,0–1,Croatia,1998
562,Argentina,5–0,Jamaica,1998
563,Argentina,1–0,Croatia,1998
564,Japan,1–2,Jamaica,1998
565,Italy,1–0,Norway,1998
566,Brazil,4–1,Chile,1998
567,France,1–0 (a.e.t./g.g.),Paraguay,1998
568,Nigeria,1–4,Denmark,1998
569,Germany,2–1,Mexico,1998
570,Netherlands,2–1,FR Yugoslavia,1998
571,Romania,0–1,Croatia,1998
572,Argentina,2–2 (a.e.t.),England,1998
573,Italy,0–0 (a.e.t.),France,1998
574,Brazil,3–2,Denmark,1998
575,Netherlands,2–1,Argentina,1998
576,Germany,0–3,Croatia,1998
577,Brazil,1–1 (a.e.t.),Netherlands,1998
578,France,2–1,Croatia,1998
579,Netherlands,1–2,Croatia,1998
580,Brazil,0–3,France,1998
581,France,0–1,Senegal,2002
582,Uruguay,1–2,Denmark,2002
583,Denmark,1–1,Senegal,2002
584,France,0–0,Uruguay,2002
585,Denmark,2–0,France,2002
586,Senegal,3–3,Uruguay,2002
587,Paraguay,2–2,South Africa,2002
588,Spain,3–1,Slovenia,2002
589,Spain,3–1,Paraguay,2002
590,South Africa,1–0,Slovenia,2002
591,South Africa,2–3,Spain,2002
592,Slovenia,1–3,Paraguay,2002
593,Brazil,2–1,Turkey,2002
594,China,0–2,Costa Rica,2002
595,Brazil,4–0,China,2002
596,Costa Rica,1–1,Turkey,2002
597,Costa Rica,2–5,Brazil,2002
598,Turkey,3–0,China,2002
599,South Korea,2–0,Poland,2002
600,United States,3–2,Portugal,2002
601,South Korea,1–1,United States,2002
602,Portugal,4–0,Poland,2002
603,Portugal,0–1,South Korea,2002
604,Poland,3–1,United States,2002
605,Republic of Ireland,1–1,Cameroon,2002
606,Germany,8–0,Saudi Arabia,2002
607,Germany,1–1,Republic of Ireland,2002
608,Cameroon,1–0,Saudi Arabia,2002
609,Cameroon,0–2,Germany,2002
610,Saudi Arabia,0–3,Republic of Ireland,2002
611,Argentina,1–0,Nigeria,2002
612,England,1–1,Sweden,2002
613,Sweden,2–1,Nigeria,2002
614,Argentina,0–1,England,2002
615,Sweden,1–1,Argentina,2002
616,Nigeria,0–0,England,2002
617,Croatia,0–1,Mexico,2002
618,Italy,2–0,Ecuador,2002
619,Italy,1–2,Croatia,2002
620,Mexico,2–1,Ecuador,2002
621,Mexico,1–1,Italy,2002
622,Ecuador,1–0,Croatia,2002
623,Japan,2–2,Belgium,2002
624,Russia,2–0,Tunisia,2002
625,Japan,1–0,Russia,2002
626,Tunisia,1–1,Belgium,2002
627,Tunisia,0–2,Japan,2002
628,Belgium,3–2,Russia,2002
629,Germany,1–0,Paraguay,2002
630,Denmark,0–3,England,2002
631,Sweden,1–2 (a.e.t./g.g.),Senegal,2002
632,Spain,1–1 (a.e.t.),Republic of Ireland,2002
633,Mexico,0–2,United States,2002
634,Brazil,2–0,Belgium,2002
635,Japan,0–1,Turkey,2002
636,South Korea,2–1 (a.e.t./g.g.),Italy,2002
637,England,1–2,Brazil,2002
638,Germany,1–0,United States,2002
639,Spain,0–0 (a.e.t.),South Korea,2002
640,Senegal,0–1 (a.e.t./g.g.),Turkey,2002
641,Germany,1–0,South Korea,2002
642,Brazil,1–0,Turkey,2002
643,South Korea,2–3,Turkey,2002
644,Germany,0–2,Brazil,2002
645,Germany,4–2,Costa Rica,2006
646,Poland,0–2,Ecuador,2006
647,Germany,1–0,Poland,2006
648,Ecuador,3–0,Costa Rica,2006
649,Ecuador,0–3,Germany,2006
650,Costa Rica,1–2,Poland,2006
651,England,1–0,Paraguay,2006
652,Trinidad and Tobago,0–0,Sweden,2006
653,England,2–0,Trinidad and Tobago,2006
654,Sweden,1–0,Paraguay,2006
655,Sweden,2–2,England,2006
656,Paraguay,2–0,Trinidad and Tobago,2006
657,Argentina,2–1,Ivory Coast,2006
658,Serbia and Montenegro,0–1,Netherlands,2006
659,Argentina,6–0,Serbia and Montenegro,2006
660,Netherlands,2–1,Ivory Coast,2006
661,Netherlands,0–0,Argentina,2006
662,Ivory Coast,3–2,Serbia and Montenegro,2006
663,Mexico,3–1,Iran,2006
664,Angola,0–1,Portugal,2006
665,Mexico,0–0,Angola,2006
666,Portugal,2–0,Iran,2006
667,Portugal,2–1,Mexico,2006
668,Iran,1–1,Angola,2006
669,United States,0–3,Czech Republic,2006
670,Italy,2–0,Ghana,2006
671,Czech Republic,0–2,Ghana,2006
672,Italy,1–1,United States,2006
673,Czech Republic,0–2,Italy,2006
674,Ghana,2–1,United States,2006
675,Australia,3–1,Japan,2006
676,Brazil,1–0,Croatia,2006
677,Japan,0–0,Croatia,2006
678,Brazil,2–0,Australia,2006
679,Japan,1–4,Brazil,2006
680,Croatia,2–2,Australia,2006
681,South Korea,2–1,Togo,2006
682,France,0–0,Switzerland,2006
683,France,1–1,South Korea,2006
684,Togo,0–2,Switzerland,2006
685,Togo,0–2,France,2006
686,Switzerland,2–0,South Korea,2006
687,Spain,4–0,Ukraine,2006
688,Tunisia,2–2,Saudi Arabia,2006
689,Saudi Arabia,0–4,Ukraine,2006
690,Spain,3–1,Tunisia,2006
691,Saudi Arabia,0–1,Spain,2006
692,Ukraine,1–0,Tunisia,2006
693,Germany,2–0,Sweden,2006
694,Argentina,2–1 (a.e.t.),Mexico,2006
695,England,1–0,Ecuador,2006
696,Portugal,1–0,Netherlands,2006
697,Italy,1–0,Australia,2006
698,Switzerland,0–0 (a.e.t.),Ukraine,2006
699,Brazil,3–0,Ghana,2006
700,Spain,1–3,France,2006
701,Germany,1–1 (a.e.t.),Argentina,2006
702,Italy,3–0,Ukraine,2006
703,England,0–0 (a.e.t.),Portugal,2006
704,Brazil,0–1,France,2006
705,Germany,0–2 (a.e.t.),Italy,2006
706,Portugal,0–1,France,2006
707,Germany,3–1,Portugal,2006
708,Italy,1–1 (a.e.t.),France,2006
709,South Africa,1–1,Mexico,2010
