HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals,Result
Ecuador,Costa Rica,2006,3,0,3,win
Ecuador,Germany,2006,0,3,3,lose
Costa Rica,Poland,2006,1,2,3,lose
England,Paraguay,2006,1,0,1,win
Trinidad and Tobago,Sweden,2006,0,0,0,draw
England,Trinidad and Tobago,2006,2,0,2,win
Sweden,Paraguay,2006,1,0,1,win
Sweden,England,2006,2,2,4,draw
Paraguay,Trinidad and Tobago,2006,2,0,2,win
Argentina,Ivory Coast,2006,2,1,3,win
Serbia and Montenegro,Netherlands,2006,0,1,1,lose
Argentina,Serbia and Montenegro,2006,6,0,6,win
Netherlands,Ivory Coast,2006,2,1,3,win
Netherlands,Argentina,2006,0,0,0,draw
Ivory Coast,Serbia and Montenegro,2006,3,2,5,win
Mexico,Iran,2006,3,1,4,win
Angola,Portugal,2006,0,1,1,lose
Mexico,Angola,2006,0,0,0,draw
Portugal,Iran,2006,2,0,2,win
Portugal,Mexico,2006,2,1,3,win
Iran,Angola,2006,1,1,2,draw
United States,Czech Republic,2006,0,3,3,lose
Italy,Ghana,2006,2,0,2,win
Czech Republic,Ghana,2006,0,2,2,lose
Italy,United States,2006,1,1,2,draw
Czech Republic,Italy,2006,0,2,2,lose
Ghana,United States,2006,2,1,3,win
Australia,Japan,2006,3,1,4,win
Brazil,Croatia,2006,1,0,1,win
Japan,Croatia,2006,0,0,0,draw
Brazil,Australia,2006,2,0,2,win
Japan,Brazil,2006,1,4,5,lose
Croatia,Australia,2006,2,2,4,draw
South Korea,Togo,2006,2,1,3,win
France,Switzerland,2006,0,0,0,draw
France,South Korea,2006,1,1,2,draw
Togo,Switzerland,2006,0,2,2,lose
Togo,France,2006,0,2,2,lose
Switzerland,South Korea,2006,2,0,2,win
Spain,Ukraine,2006,4,0,4,win
Tunisia,Saudi Arabia,2006,2,2,4,draw
Saudi Arabia,Ukraine,2006,0,4,4,lose
Spain,Tunisia,2006,3,1,4,win
Saudi Arabia,Spain,2006,0,1,1,lose
Ukraine,Tunisia,2006,1,0,1,win
Germany,Sweden,2006,2,0,2,win
Argentina,Mexico,2006,2,1,3,win
England,Ecuador,2006,1,0,1,win
Portugal,Netherlands,2006,1,0,1,win
Italy,Australia,2006,1,0,1,win
Switzerland,Ukraine,2006,0,0,0,draw
Brazil,Ghana,2006,3,0,3,win
Spain,France,2006,1,3,4,lose
Germany,Argentina,2006,1,1,2,draw
Italy,Ukraine,2006,3,0,3,win
England,Portugal,2006,0,0,0,draw
Brazil,France,2006,0,1,1,lose
Germany,Italy,2006,0,2,2,lose
Portugal,France,2006,0,1,1,lose
Germany,Portugal,2006,3,1,4,win
Italy,France,2006,1,1,2,draw
South Africa,Mexico,2010,1,1,2,draw
Uruguay,France,2010,0,0,0,draw
South Africa,Uruguay,2010,0,3,3,lose
France,Mexico,2010,0,2,2,lose
Mexico,Uruguay,2010,0,1,1,lose
France,South Africa,2010,1,2,3,lose
South Korea,Greece,2010,2,0,2,win
Argentina,Nigeria,2010,1,0,1,win
Argentina,South Korea,2010,4,1,5,win
Greece,Nigeria,2010,2,1,3,win
Nigeria,South Korea,2010,2,2,4,draw
Greece,Argentina,2010,0,2,2,lose
England,United States,2010,1,1,2,draw
Algeria,Slovenia,2010,0,1,1,lose
Slovenia,United States,2010,2,2,4,draw
England,Algeria,2010,0,0,0,draw
Slovenia,England,2010,0,1,1,lose
United States,Algeria,2010,1,0,1,win
Serbia,Ghana,2010,0,1,1,lose
Germany,Australia,2010,4,0,4,win
Germany,Serbia,2010,0,1,1,lose
Ghana,Australia,2010,1,1,2,draw
Ghana,Germany,2010,0,1,1,lose
Australia,Serbia,2010,2,1,3,win
Netherlands,Denmark,2010,2,0,2,win
Japan,Cameroon,2010,1,0,1,win
Netherlands,Japan,2010,1,0,1,win
Cameroon,Denmark,2010,1,2,3,lose
Denmark,Japan,2010,1,3,4,lose
Cameroon,Netherlands,2010,1,2,3,lose
Italy,Paraguay,2010,1,1,2,draw
New Zealand,Slovakia,2010,1,1,2,draw
Slovakia,Paraguay,2010,0,2,2,lose
Italy,New Zealand,2010,1,1,2,draw
Slovakia,Italy,2010,3,2,5,win
Paraguay,New Zealand,2010,0,0,0,draw
Ivory Coast,Portugal,2010,0,0,0,draw
Brazil,North Korea,2010,2,1,3,win
Brazil,Ivory Coast,2010,3,1,4,win
Portugal,North Korea,2010,7,0,7,win
Portugal,Brazil,2010,0,0,0,draw
North Korea,Ivory Coast,2010,0,3,3,lose
Honduras,Chile,2010,0,1,1,lose
Spain,Switzerland,2010,0,1,1,lose
Chile,Switzerland,2010,1,0,1,win
Spain,Honduras,2010,2,0,2,win
Chile,Spain,2010,1,2,3,lose
Switzerland,Honduras,2010,0,0,0,draw
Uruguay,South Korea,2010,2,1,3,win
United States,Ghana,2010,1,2,3,lose
Germany,England,2010,4,1,5,win
Argentina,Mexico,2010,3,1,4,win
Netherlands,Slovakia,2010,2,1,3,win
Brazil,Chile,2010,3,0,3,win
Paraguay,Japan,2010,0,0,0,draw
Spain,Portugal,2010,1,0,1,win
Netherlands,Brazil,2010,2,1,3,win
Uruguay,Ghana,2010,1,1,2,draw
Argentina,Germany,2010,0,4,4,lose
Paraguay,Spain,2010,0,1,1,lose
Uruguay,Netherlands,2010,2,3,5,lose
Germany,Spain,2010,0,1,1,lose
Uruguay,Germany,2010,2,3,5,lose
Netherlands,Spain,2010,0,1,1,lose
Brazil,Croatia,2014,3,1,4,win
Mexico,Cameroon,2014,1,0,1,win
Brazil,Mexico,2014,0,0,0,draw
Cameroon,Croatia,2014,0,4,4,lose
Cameroon,Brazil,2014,1,4,5,lose
Croatia,Mexico,2014,1,3,4,lose
Spain,Netherlands,2014,1,5,6,lose
Chile,Australia,2014,3,1,4,win
Australia,Netherlands,2014,2,3,5,lose
Spain,Chile,2014,0,2,2,lose
Australia,Spain,2014,0,3,3,lose
Netherlands,Chile,2014,2,0,2,win
Colombia,Greece,2014,3,0,3,win
Ivory Coast,Japan,2014,2,1,3,win
Colombia,Ivory Coast,2014,2,1,3,win
Japan,Greece,2014,0,0,0,draw
Japan,Colombia,2014,1,4,5,lose
Greece,Ivory Coast,2014,2,1,3,win
Uruguay,Costa Rica,2014,1,3,4,lose
England,Italy,2014,1,2,3,lose
Uruguay,England,2014,2,1,3,win
Italy,Costa Rica,2014,0,1,1,lose
Italy,Uruguay,2014,0,1,1,lose
Costa Rica,England,2014,0,0,0,draw
Switzerland,Ecuador,2014,2,1,3,win
France,Honduras,2014,3,0,3,win
Switzerland,France,2014,2,5,7,lose
Honduras,Ecuador,2014,1,2,3,lose
Honduras,Switzerland,2014,0,3,3,lose
Ecuador,France,2014,0,0,0,draw
Argentina,Bosnia and Herzegovina,2014,2,1,3,win
Iran,Nigeria,2014,0,0,0,draw
Argentina,Iran,2014,1,0,1,win
Nigeria,Bosnia and Herzegovina,2014,1,0,1,win
Nigeria,Argentina,2014,2,3,5,lose
Bosnia and Herzegovina,Iran,2014,3,1,4,win
Germany,Portugal,2014,4,0,4,win
Ghana,United States,2014,1,2,3,lose
Germany,Ghana,2014,2,2,4,draw
United States,Portugal,2014,2,2,4,draw
United States,Germany,2014,0,1,1,lose
Portugal,Ghana,2014,2,1,3,win
Belgium,Algeria,2014,2,1,3,win
Russia,South Korea,2014,1,1,2,draw
Belgium,Russia,2014,1,0,1,win
South Korea,Algeria,2014,2,4,6,lose
South Korea,Belgium,2014,0,1,1,lose
Algeria,Russia,2014,1,1,2,draw
Brazil,Chile,2014,1,1,2,draw
Colombia,Uruguay,2014,2,0,2,win
Netherlands,Mexico,2014,2,1,3,win
Costa Rica,Greece,2014,1,1,2,draw
France,Nigeria,2014,2,0,2,win
Germany,Algeria,2014,2,1,3,win
Argentina,Switzerland,2014,1,0,1,win
Belgium,United States,2014,2,1,3,win
France,Germany,2014,0,1,1,lose
Brazil,Colombia,2014,2,1,3,win
Argentina,Belgium,2014,1,0,1,win
Netherlands,Costa Rica,2014,0,0,0,draw
Brazil,Germany,2014,1,7,8,lose
Netherlands,Argentina,2014,0,0,0,draw
Brazil,Netherlands,2014,0,3,3,lose
Germany,Argentina,2014,1,0,1,win
Russia,Saudi Arabia,2018,5,0,5,win
Egypt,Uruguay,2018,0,1,1,lose
Russia,Egypt,2018,3,1,4,win
Uruguay,Saudi Arabia,2018,1,0,1,win
Uruguay,Russia,2018,3,0,3,win
Saudi Arabia,Egypt,2018,2,1,3,win
Morocco,Iran,2018,0,1,1,lose
Portugal,Spain,2018,3,3,6,draw
Portugal,Morocco,2018,1,0,1,win
Iran,Spain,2018,0,1,1,lose
Iran,Portugal,2018,1,1,2,draw
Spain,Morocco,2018,2,2,4,draw
France,Australia,2018,2,1,3,win
Peru,Denmark,2018,0,1,1,lose
Denmark,Australia,2018,1,1,2,draw
France,Peru,2018,1,0,1,win
Denmark,France,2018,0,0,0,draw
Australia,Peru,2018,0,2,2,lose
Argentina,Iceland,2018,1,1,2,draw
Croatia,Nigeria,2018,2,0,2,win
Argentina,Croatia,2018,0,3,3,lose
Nigeria,Iceland,2018,2,0,2,win
Nigeria,Argentina,2018,1,2,3,lose
Iceland,Croatia,2018,1,2,3,lose
Costa Rica,Serbia,2018,0,1,1,lose
Brazil,Switzerland,2018,1,1,2,draw
Brazil,Costa Rica,2018,2,0,2,win
Serbia,Switzerland,2018,1,2,3,lose
Serbia,Brazil,2018,0,2,2,lose
Switzerland,Costa Rica,2018,2,2,4,draw
Germany,Mexico,2018,0,1,1,lose
Sweden,South Korea,2018,1,0,1,win
South Korea,Mexico,2018,1,2,3,lose
Germany,Sweden,2018,2,1,3,win
South Korea,Germany,2018,2,0,2,win
Mexico,Sweden,2018,0,3,3,lose
Belgium,Panama,2018,3,0,3,win
Tunisia,England,2018,1,2,3,lose
Belgium,Tunisia,2018,5,2,7,win
England,Panama,2018,6,1,7,win
England,Belgium,2018,0,1,1,lose
Panama,Tunisia,2018,1,2,3,lose
Colombia,Japan,2018,1,2,3,lose
Poland,Senegal,2018,1,2,3,lose
Japan,Senegal,2018,2,2,4,draw
Poland,Colombia,2018,0,3,3,lose
Japan,Poland,2018,0,1,1,lose
Senegal,Colombia,2018,0,1,1,lose
France,Argentina,2018,4,3,7,win
Uruguay,Portugal,2018,2,1,3,win
Spain,Russia,2018,1,1,2,draw
Croatia,Denmark,2018,1,1,2,draw
Brazil,Mexico,2018,2,0,2,win
Belgium,Japan,2018,3,2,5,win
Sweden,Switzerland,2018,1,0,1,win
Colombia,England,2018,1,1,2,draw
Uruguay,France,2018,0,2,2,lose
Brazil,Belgium,2018,1,2,3,lose
Sweden,England,2018,0,2,2,lose
Russia,Croatia,2018,2,2,4,draw
France,Belgium,2018,1,0,1,win
Croatia,England,2018,2,1,3,win
Belgium,England,2018,2,0,2,win
France,Croatia,2018,4,2,6,win
Qatar,Ecuador,2022,0,2,2,lose
Senegal,Netherlands,2022,0,2,2,lose
Qatar,Senegal,2022,1,3,4,lose
Netherlands,Ecuador,2022,1,1,2,draw
Ecuador,Senegal,2022,1,2,3,lose
Netherlands,Qatar,2022,2,0,2,win
England,Iran,2022,6,2,8,win
United States,Wales,2022,1,1,2,draw
Wales,Iran,2022,0,2,2,lose
England,United States,2022,0,0,0,draw
Wales,England,2022,0,3,3,lose
Iran,United States,2022,0,1,1,lose
Argentina,Saudi Arabia,2022,1,2,3,lose
Mexico,Poland,2022,0,0,0,draw
Poland,Saudi Arabia,2022,2,0,2,win
Argentina,Mexico,2022,2,0,2,win
Poland,Argentina,2022,0,2,2,lose
Saudi Arabia,Mexico,2022,1,2,3,lose
Denmark,Tunisia,2022,0,0,0,draw
France,Australia,2022,4,1,5,win
Tunisia,Australia,2022,0,1,1,lose
France,Denmark,2022,2,1,3,win
Australia,Denmark,2022,1,0,1,win
Tunisia,France,2022,1,0,1,win
Germany,Japan,2022,1,2,3,lose
Spain,Costa Rica,2022,7,0,7,win
Japan,Costa Rica,2022,0,1,1,lose
Spain,Germany,2022,1,1,2,draw
Japan,Spain,2022,2,1,3,win
Costa Rica,Germany,2022,2,4,6,lose
Morocco,Croatia,2022,0,0,0,draw
Belgium,Canada,2022,1,0,1,win
Belgium,Morocco,2022,0,2,2,lose
Croatia,Canada,2022,4,1,5,win
Croatia,Belgium,2022,0,0,0,draw
Canada,Morocco,2022,1,2,3,lose
Switzerland,Cameroon,2022,1,0,1,win
Brazil,Serbia,2022,2,0,2,win
Cameroon,Serbia,2022,3,3,6,draw
Brazil,Switzerland,2022,1,0,1,win
Serbia,Switzerland,2022,2,3,5,lose
Cameroon,Brazil,2022,1,0,1,win
Uruguay,South Korea,2022,0,0,0,draw
Portugal,Ghana,2022,3,2,5,win
South Korea,Ghana,2022,2,3,5,lose
Portugal,Uruguay,2022,2,0,2,win
Ghana,Uruguay,2022,0,2,2,lose
South Korea,Portugal,2022,2,1,3,win
Netherlands,United States,2022,3,1,4,win
Argentina,Australia,2022,2,1,3,win
France,Poland,2022,3,1,4,win
England,Senegal,2022,3,0,3,win
Japan,Croatia,2022,1,1,2,draw
Brazil,South Korea,2022,4,1,5,win
Morocco,Spain,2022,0,0,0,draw
Portugal,Switzerland,2022,6,1,7,win
Croatia,Brazil,2022,1,1,2,draw
Netherlands,Argentina,2022,2,2,4,draw
Morocco,Portugal,2022,1,0,1,win
England,France,2022,1,2,3,lose
Argentina,Croatia,2022,3,0,3,win
France,Morocco,2022,2,0,2,win
Croatia,Morocco,2022,2,1,3,win
Argentina,France,2022,3,3,6,draw
